,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,amzn,N/A,N/A,N/A,N/A,N/A,35.49,175.92,3.13,20.60,1.81,2.89,3.62,14.18,299.84,446500000000.0,438800000000.0,81.09,4.94,3.08,35.94,3.08,47720000000.0,35.94,2580000000.0,5.31,41.10,22.60,21530000000.0,45.04,7690000000.0,1.05,45.34,16809999999.999998,1.40,17.82,67.50,5490000.0,2.09,1.62,5910000.0,N/A
1,N/A,N/A,hd,N/A,N/A,N/A,N/A,N/A,544.68,24.14,1.98,43.23,8.41,14.19,19.76,149.44,76.97,187060000000.0,206570000000.0,19.20,1.83,2.18,13.41,2.18,N/A,13.41,7960000000.0,6.45,18.60,5.80,2540000000.0,2.11,23600000000.0,1.25,3.60,9780000000.0,1.07,0.15,73.40,10530000.0,2.44,0.84,8740000.0,N/A
2,N/A,N/A,aes,N/A,N/A,N/A,N/A,N/A,355.26,6.62,0.55,2.67,8.32,16.48,3.86,6.20,20.58,7460000000.0,25820000000.0,9.36,0.86,1.90,7.56,1.90,N/A,7.56,N/A,1.71,N/A,10.10,2100000000.0,3.19,20460000000.0,1.22,4.24,2890000000.0,1.48,0.26,96.80,8050000.000000001,1.37,1.58,7580000.0,N/A
3,N/A,N/A,syy,N/A,N/A,N/A,N/A,N/A,327.62,30.16,0.56,12.07,1.94,4.17,9.00,31.55,95.24,29880000000.0,36070000000.0,20.11,1.79,0.68,12.02,0.68,9040000000.0,12.02,1030000000.0,1.83,1.00,10.70,847290000.0,1.57,8369999999.999999,1.59,4.58,2069999999.9999998,0.40,7.16,76.70,13280000.0,4.42,2.63,13150000.0,N/A
4,N/A,N/A,pfg,N/A,N/A,N/A,N/A,N/A,33.19,14.30,1.50,1.81,10.62,14.22,0.49,13.72,42.83,18540000000.0,16899999999.999998,11.94,1.53,1.36,8.67,1.36,N/A,8.67,1320000000.0,4.5,25.40,25.20,5280000000.0,18.35,3450000000.0,2.69,35.55,3860000000.0,1.53,0.36,68.80,4980000.0,4.18,1.72,5730000.0,N/A
5,N/A,N/A,tif,N/A,N/A,N/A,N/A,N/A,36.56,26.05,2.88,3.82,11.15,18.66,9.13,14.98,31.99,11540000000.0,11490000000.0,21.41,3.06,2.87,12.03,2.87,2490000000.0,12.03,446100000.0,3.55,3.30,1.30,985800000.0,7.91,1110000000.0,5.65,24.20,702100000.0,1.87,13.20,80.90,8560000.0,3.72,7.85,11230000.0,N/A
6,N/A,N/A,apc,N/A,N/A,N/A,N/A,N/A,107.76,8.92,3.49,2.37,36.36,19.89,2.29,18.14,16.18,29470000000.0,45010000000.0,65.74,18.19,5.33,15.18,5.33,4970000000.0,15.18,3080000000.0,5.9,N/A,26.70,3190000000.0,5.71,16700000000.0,1.58,22.16,N/A,1.70,0.21,86.50,8420000.0,1.71,1.51,8830000.0,N/A
7,N/A,N/A,pm,N/A,N/A,N/A,N/A,N/A,N/A,24.85,6.54,N/A,26.35,40.27,18.84,N/A,17.19,174340000000.0,197840000000.0,20.71,2.16,7.42,17.22,7.42,17290000000.0,17.22,7010000000.0,4.52,3.90,0.30,5080000000.0,3.27,31350000000.0,1.26,7.99,N/A,0.90,0.22,70.20,13420000.0,2.94,0.87,13670000.0,N/A
8,N/A,N/A,dsw,N/A,N/A,N/A,N/A,N/A,N/A,13.82,0.62,1.80,4.59,6.96,8.44,13.52,33.26,1680000000.0,1440000000.0,13.29,2.89,0.53,5.34,0.53,N/A,5.34,124530000.0,1.52,159.50,0.40,209190000.0,2.61,N/A,2.40,11.69,212910000.0,0.98,8.81,95.60,10730000.0,3.42,16.13,8369999.999999999,N/A
9,N/A,N/A,schl,N/A,N/A,N/A,N/A,N/A,0.46,32.39,0.85,1.18,2.67,5.87,3.57,3.83,50.82,1500000000.0,1050000000.0,30.48,2.90,0.60,8.12,0.60,N/A,8.12,47700000.0,1.33,N/A,8.10,461800000.0,13.26,5800000.0,2.08,36.44,186100000.0,0.83,12.57,87.70,1100000.0,10.22,6.16,1080000.0,N/A
10,N/A,N/A,lrcx,N/A,N/A,N/A,N/A,N/A,40.03,19.09,3.36,3.65,19.82,23.19,9.55,23.00,44.64,24250000000.0,20890000000.0,14.07,0.62,2.89,10.57,2.89,N/A,10.57,1430000000.0,7.87,300.60,63.90,5880000000.0,36.48,2700000000.0,3.22,41.14,1720000000.0,1.61,0.41,101.70,11790000.0,7.03,7.33,11790000.0,N/A
11,N/A,N/A,ea,N/A,N/A,N/A,N/A,N/A,27.90,23.24,6.38,8.28,28.10,22.87,9.32,39.63,15.26,29510000000.0,25990000000.0,23.07,1.51,5.62,21.00,5.62,3040000000.0,21.00,1300000000.0,4.12,N/A,7.40,4219999999.9999995,13.69,N/A,1.74,11.56,1370000000.0,0.89,0.66,104.40,11060000.0,4.7,3.78,11470000.0,N/A
12,N/A,N/A,wdc,N/A,N/A,N/A,N/A,N/A,118.65,102.16,1.47,2.38,1.40,9.29,4.64,2.41,63.32,26130000000.0,32640000000.0,7.64,5.03,1.84,9.11,1.84,3440000000.0,9.11,N/A,0.89,235.10,64.70,5680000000.0,19.64,13090000000.0,2.39,38.17,2850000000.0,1.14,2.40,77.10,5360000.0,1.55,1.89,7320000.0,N/A
13,N/A,N/A,phm,N/A,N/A,N/A,N/A,N/A,70.19,12.34,0.90,1.51,7.77,12.70,6.32,12.95,23.67,7050000000.0,9950000000.0,8.46,0.48,1.27,9.45,1.27,N/A,9.45,605970000.0,1.81,9.90,13.70,410400000.0,1.3,3270000000.0,4.42,14.75,170990000.0,1.13,9.47,87.50,25770000.0,4.17,8.83,24220000.0,N/A
14,N/A,N/A,ups,N/A,N/A,N/A,N/A,N/A,310.36,27.44,1.51,167.60,5.59,8.80,8.76,227.50,70.29,93250000000.0,102670000000.0,16.66,2.14,1.66,13.40,1.66,47080000000.0,13.40,3460000000.0,3.91,2.40,6.20,3720000000.0,4.25,12940000000.0,1.01,0.64,4040000000.0,0.87,0.06,69.10,8330000.0,2.66,1.21,8460000.0,N/A
15,N/A,N/A,mtb,N/A,N/A,N/A,N/A,N/A,N/A,19.45,4.73,1.63,26.42,43.90,1.10,8.39,33.19,24440000000.0,23760000000.0,N/A,N/A,4.60,N/A,4.60,N/A,N/A,1280000000.0,8.17,16.90,5.00,8410000000.0,54.67,8270000000.0,N/A,97.42,N/A,0.92,8.05,85.60,N/A,N/A,0.00,1.3,N/A
16,N/A,N/A,ksu,N/A,N/A,N/A,N/A,N/A,57.19,19.01,4.08,2.34,21.71,35.21,6.09,11.90,22.24,9720000000.0,11950000000.0,16.10,1.52,5.02,10.41,5.02,1640000000.0,10.41,516700000.00000006,4.82,36.00,8.30,123100000.0,1.16,2560000000.0,0.89,39.10,882900000.0,0.66,1.34,92.80,2660000.0,2.01,2.52,2700000.0,N/A
17,N/A,N/A,sfly,N/A,N/A,N/A,N/A,N/A,52.15,150.66,1.57,3.27,1.06,4.38,2.99,2.23,33.78,1800000000.0,1840000000.0,35.29,2.91,1.60,13.11,1.60,568110000.0,13.11,12150000.0,0.35,N/A,5.60,206520000.0,6.12,282530000.0,2.68,16.06,203650000.0,0.91,1.25,104.90,5140000.0,13.05,20.77,5080000.0,N/A
18,N/A,N/A,mas,N/A,N/A,N/A,N/A,N/A,N/A,23.37,1.59,N/A,7.04,14.46,11.46,520.00,22.97,11790000000.0,13720000000.0,16.86,1.20,1.85,11.39,1.85,N/A,11.39,N/A,1.58,28.40,3.30,N/A,2.79,N/A,2.08,0.85,N/A,1.48,1.25,92.30,6240000.0,1.91,2.26,7460000.0,N/A
19,N/A,N/A,rl,N/A,N/A,N/A,N/A,N/A,24.13,46.95,0.97,1.87,2.10,9.94,7.03,3.94,83.73,6750000000.0,6130000000.0,15.76,5.09,0.88,6.08,0.88,4190000000.0000005,6.08,N/A,1.75,37.40,11.90,1380000000.0,16.8,N/A,2.64,43.92,N/A,0.33,0.39,98.50,4880000.0,3.41,8.55,4920000.0,N/A
20,N/A,N/A,bax,N/A,N/A,N/A,N/A,N/A,33.60,16.56,2.95,3.64,18.09,13.44,N/A,N/A,18.87,30320000000.0,30050000000.0,21.94,1.90,2.93,14.11,2.93,4110000000.0000005,14.11,1850000000.0,3.38,92.00,4.20,2800000000.0,5.19,2780000000.0,N/A,15.36,N/A,0.75,10.11,84.90,8540000.0,2.8,1.58,9300000.0,N/A
21,N/A,N/A,ffiv,N/A,N/A,N/A,N/A,N/A,N/A,21.94,4.01,6.96,18.87,28.08,15.59,32.81,31.35,8240000000.0,7260000000.0,14.24,1.42,3.53,11.60,3.53,1660000000.0,11.60,388080000.0,5.86,23.50,7.10,1010000000.0,15.83,N/A,1.58,18.48,739200000.0,1.07,0.26,101.80,3730000.0,6.73,5.77,3910000.0,N/A
22,N/A,N/A,itw,N/A,N/A,N/A,N/A,N/A,175.10,23.45,3.50,10.76,15.24,22.84,12.72,43.27,39.30,48260000000.0,53190000000.0,19.91,2.39,3.86,14.69,3.86,N/A,14.69,2100000000.0,5.95,14.50,6.00,2490000000.0,7.2,7880000000.0,2.24,12.98,N/A,1.25,0.98,77.40,7930000.0,6.05,2.14,6550000.0,N/A
23,N/A,N/A,stt,N/A,N/A,N/A,N/A,N/A,N/A,16.82,3.13,1.77,21.02,25.26,0.88,10.11,26.05,31910000000.0,22070000000.0,12.53,1.85,2.16,N/A,2.16,N/A,N/A,1970000000.0,4.97,3.00,0.40,82550000000.0,216.13,28430000000.0,N/A,47.19,2290000000.0,1.29,0.58,91.60,6190000.0,2.86,1.63,7360000.0,N/A
24,N/A,N/A,stx,N/A,N/A,N/A,N/A,N/A,325.31,17.92,1.17,8.04,6.61,11.69,8.89,44.24,37.13,12920000000.0,14730000000.0,9.43,0.54,1.34,7.39,1.34,2670000000.0,7.39,N/A,2.43,N/A,3.00,3030000000.0,10.19,5230000000.0,1.96,5.41,1940000000.0,1.72,11.39,88.70,29510000.0,7.67,13.11,31220000.0,N/A
25,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,17.77,169.26,0.60,1.00,0.36,7.46,2.74,1.77,53.69,5860000000.0,6900000000.0,13.15,0.21,0.70,4.75,0.70,N/A,4.75,N/A,0.19,N/A,24.70,N/A,4.37,1450000000.0,1.30,31.97,N/A,N/A,N/A,N/A,4770000.0,0.95,2.59,4900000.0,N/A
